Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID61,4.4,5.6,7.1,7.0,6.16,6.57,7.37,6.87,6.61,5.7,5.8,5.3,5.0,6.2,7.3,6.0,100.0,True
ID62,4.9,5.7,7.0,9.2,6.03,5.81,6.61,6.28,4.75,5.0,6.0,5.9,4.7,6.1,6.2,5.4,100.0,True
ID63,6.0,3.5,7.4,9.5,5.45,6.32,6.64,5.6,4.99,5.6,5.6,6.0,7.2,4.6,7.0,6.7,100.0,True
ID64,6.1,4.2,6.4,8.3,5.85,5.57,6.61,6.48,5.44,4.9,4.6,3.8,5.0,5.2,6.5,6.2,93.4,True
ID65,5.2,4.5,3.7,9.3,5.05,5.56,5.73,4.78,5.8,5.4,4.4,4.5,4.6,5.4,7.2,7.0,100.0,True
ID67,8.2,4.9,3.0,8.2,8.33,5.4,3.34,4.95,7.55,4.9,5.0,4.0,4.4,4.2,7.7,7.2,78.3,True
ID68,6.0,4.9,6.0,8.1,5.05,7.26,4.54,5.69,5.06,6.6,6.6,6.9,6.7,4.3,8.6,4.4,76.5,True
ID69,7.4,3.3,6.5,9.0,7.33,4.55,3.71,5.47,6.12,4.4,4.3,3.3,4.4,3.3,8.8,4.2,100.0,True
ID71,8.0,4.9,6.0,7.9,7.02,7.08,2.65,7.51,5.6,7.4,6.4,7.4,7.0,5.5,7.8,4.4,55.1,True
ID70,9.7,5.3,3.2,7.4,5.93,4.92,5.15,5.42,6.73,5.9,6.0,5.3,5.4,4.5,7.1,7.1,64.9,True
ID72,7.3,4.8,3.5,6.8,6.81,5.17,2.85,4.27,7.52,5.1,3.9,4.9,5.0,3.5,8.2,6.8,53.1,True
ID73,5.1,4.4,8.1,9.2,5.73,7.03,6.67,5.41,6.45,7.6,5.9,7.1,8.1,5.3,5.9,6.3,100.0,True
ID74,6.4,8.2,6.0,4.8,5.11,4.42,3.21,5.58,4.8,5.7,4.9,4.7,4.9,4.9,4.4,4.7,59.4,True
ID75,5.3,4.1,4.9,9.5,7.13,5.26,6.63,5.21,5.38,4.9,4.9,3.9,4.2,4.3,8.1,6.5,100.0,True
ID76,8.0,4.3,5.7,9.4,7.72,4.6,3.0,5.94,5.91,4.7,5.1,4.4,5.5,5.8,6.5,4.2,48.6,True
ID77,7.2,3.8,6.5,9.4,5.86,6.1,4.94,7.33,6.42,5.0,5.5,6.1,5.3,5.5,5.6,6.9,100.0,True
ID78,6.9,5.5,4.5,7.5,5.51,5.75,7.51,6.75,3.48,5.0,5.5,4.7,4.7,6.0,6.1,8.2,100.0,True
ID79,5.4,7.2,7.9,8.2,6.1,6.29,6.73,6.41,4.89,6.4,5.8,5.2,6.5,6.2,7.1,4.7,100.0,True
ID80,7.3,8.2,4.2,3.8,7.04,5.3,5.31,7.54,6.41,5.2,5.7,5.0,4.3,6.8,3.3,9.0,53.9,True
ID81,5.2,5.2,4.5,8.5,5.07,5.98,7.33,7.09,4.6,6.5,6.5,6.6,6.1,5.7,6.9,7.4,100.0,True
ID82,4.7,6.0,2.6,4.1,5.39,6.61,7.86,6.68,3.11,5.4,5.4,5.5,6.5,6.1,6.3,8.8,100.0,True
ID83,3.5,7.9,5.3,4.7,4.21,7.31,7.59,8.1,4.7,6.3,8.3,6.7,6.3,7.8,4.7,9.6,100.0,True
ID84,7.9,3.6,5.6,7.5,7.16,5.54,4.56,5.44,7.4,5.2,5.4,4.4,4.4,4.9,6.3,6.8,46.4,True
ID85,7.8,4.4,6.3,5.9,7.21,5.1,4.48,5.55,4.96,3.8,5.5,4.1,4.0,3.0,6.2,6.8,45.9,True
ID86,5.1,7.9,4.5,3.7,5.28,6.8,7.88,9.65,4.04,5.8,6.8,5.5,4.5,7.9,5.3,7.8,100.0,True
ID87,7.9,5.9,4.7,8.1,5.96,5.84,6.66,6.08,4.34,4.7,5.4,5.8,4.6,6.8,6.4,6.7,100.0,True
ID88,7.5,4.7,6.2,8.5,6.04,6.34,6.7,6.22,6.8,6.0,4.8,3.8,4.5,5.2,6.3,8.4,100.0,True
ID89,9.0,4.6,3.7,6.9,8.37,3.96,3.2,5.83,6.21,5.2,3.8,3.7,3.7,3.0,8.5,4.5,100.0,True
ID91,5.9,4.5,5.0,8.3,7.0,5.05,5.18,6.77,6.44,4.9,5.2,5.0,5.2,5.0,7.9,6.9,51.7,True
ID92,4.3,4.0,6.6,9.6,5.15,6.39,7.01,5.97,5.28,7.3,5.6,6.2,6.1,5.5,6.5,5.2,100.0,True
ID93,7.0,5.2,4.7,6.2,7.53,4.7,3.91,4.85,6.78,5.4,5.4,4.7,5.2,3.4,8.2,3.8,61.3,True
ID94,5.1,4.1,4.2,7.5,4.56,7.48,8.06,6.54,4.05,7.6,6.9,6.9,7.3,5.4,6.1,7.2,100.0,True
ID95,5.8,4.8,5.3,7.5,5.12,6.9,6.67,6.43,5.25,5.8,6.4,6.4,5.4,6.3,6.5,6.9,100.0,True
ID97,4.2,3.5,6.5,8.9,5.55,5.25,2.28,5.1,4.54,5.8,4.8,4.3,4.6,4.4,8.7,3.6,81.9,True
ID96,5.8,9.0,5.8,6.6,5.85,5.72,7.65,6.65,5.14,6.2,5.6,4.7,5.6,6.3,6.5,5.6,100.0,True
ID98,7.4,3.9,4.8,8.0,6.06,5.56,4.34,4.5,5.41,4.2,4.3,3.4,3.7,4.1,8.3,7.7,55.4,True
ID99,6.8,5.9,3.9,7.2,7.81,5.57,7.27,5.59,7.54,5.9,5.7,4.7,4.4,4.4,5.5,5.0,100.0,True
ID100,6.9,4.2,4.7,8.2,7.18,5.27,5.35,6.74,5.99,4.2,5.0,5.1,4.8,4.5,5.5,7.8,75.6,True
ID101,4.6,3.6,5.3,8.0,8.04,4.5,5.4,5.86,9.27,5.7,4.6,4.2,5.1,4.4,8.2,6.0,86.4,True
